playerID,G,AB,R,H,X2B,X3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,PA,BA,OBP,SLG
tatumgo01,114,406,54,111,17,7,3,62,6,0,30,1,1,1,7,0,0,444,0.273399015,0.31981982,0.371921182
tatumja01,102,254,37,59,8,0,0,8,1,1,17,50,1,0,1,1,7,273,0.232283465,0.278388278,0.263779528
tatumji01,173,201,16,39,7,3,3,29,0,0,10,58,0,1,0,6,1,218,0.194029851,0.229357798,0.303482587
tatumke01,176,45,7,11,1,0,4,6,0,0,3,17,0,1,2,0,0,51,0.244444444,0.294117647,0.533333333
tatumto01,81,194,20,50,6,2,1,17,7,0,17,20,0,0,1,0,2,212,0.257731959,0.316037736,0.324742268
taubeed01,975,2874,351,784,151,9,94,419,11,10,255,574,29,9,10,30,50,3178,0.272790536,0.329767149,0.429714683
taubety01,14,5,0,2,1,0,0,1,0,0,0,2,0,0,0,0,0,5,0.4,0.4,0.6
taubyfr01,24,52,7,4,1,0,0,5,1,0,2,8,0,0,2,0,0,56,0.076923077,0.107142857,0.096153846
tauchmi01,567,1550,251,381,77,4,41,195,30,8,228,422,4,15,3,7,28,1803,0.245806452,0.34608985,0.38
tauscwa01,23,6,0,1,0,0,0,1,0,0,0,2,0,0,2,0,0,8,0.166666667,0.125,0.166666667
taussdo01,153,263,38,69,14,5,4,30,2,2,21,53,1,0,3,3,6,290,0.262357414,0.310344828,0.399239544
tavarje01,228,423,63,101,12,3,3,33,13,8,30,62,1,1,7,2,5,463,0.238770686,0.285097192,0.302600473
tavarju01,828,140,8,16,0,0,0,9,0,0,7,60,0,0,21,0,1,168,0.114285714,0.136904762,0.114285714
tavenja01,632,2131,254,543,88,53,13,243,46,31,186,231,0,10,105,0,0,2432,0.254809948,0.303865132,0.364148287
taveral01,35,53,4,11,1,0,0,4,1,2,2,3,0,0,0,0,2,55,0.20754717,0.236363636,0.226415094
taverfr01,1150,4043,503,1029,144,44,2,214,300,106,249,474,9,24,67,16,65,4399,0.254513975,0.295976358,0.313381153
taverle01,533,1769,212,418,80,12,41,177,75,19,126,470,0,4,12,12,16,1923,0.23629169,0.284971399,0.364612776
taveros01,80,234,18,56,8,0,3,22,0,1,12,37,0,1,0,1,10,248,0.239316239,0.278225806,0.311965812
taverwi01,670,2412,358,662,71,16,8,128,195,44,136,390,1,32,52,12,17,2644,0.274461028,0.313918306,0.327114428
tawati01,74,199,29,40,8,0,7,18,8,2,20,64,0,1,2,3,6,225,0.201005025,0.271111111,0.346733668
taylo01,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0
taylo02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
tayloaa01,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
tayloal01,1,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0.333333333,0.333333333,1
tayloan01,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
tayloar01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
taylobe01,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0.333333333,0
taylobe02,52,121,16,28,2,1,3,6,1,1,11,31,0,2,0,0,4,134,0.231404959,0.305970149,0.338842975
taylobe03,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
taylobe04,25,51,4,6,1,0,2,4,0,0,7,18,0,1,1,0,0,60,0.117647059,0.233333333,0.254901961
taylobe99,923,3391,544,1112,194,65,33,657,102,0,343,7,2,17,84,0,0,3835,0.327926865,0.383833116,0.452668829
taylobi01,275,1167,148,323,62,24,8,26,1,0,27,10,0,1,0,0,0,1195,0.276778063,0.293723849,0.391602399
taylobi02,9,24,2,6,1,0,0,2,1,0,1,0,0,1,1,0,0,27,0.25,0.296296296,0.291666667
taylobi03,149,173,17,41,8,0,7,26,0,0,5,39,0,2,1,2,3,183,0.23699422,0.262295082,0.404624277
taylobi04,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
taylobl01,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
taylobo01,63,84,12,16,0,0,2,10,0,0,12,13,0,4,0,0,3,100,0.19047619,0.32,0.261904762
taylobo02,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
taylobr01,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
tayloca01,411,846,113,225,31,6,10,115,12,7,136,130,4,5,10,9,30,1006,0.265957447,0.363817097,0.352245863
tayloca99,687,2003,310,575,88,23,37,339,93,1,191,1,0,17,61,0,0,2272,0.287069396,0.344630282,0.409385921
tayloch01,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
tayloch02,305,101,5,16,4,1,0,10,0,0,3,34,0,0,11,0,2,115,0.158415842,0.165217391,0.217821782
tayloch03,1123,3465,516,860,200,31,110,443,91,24,370,1145,10,45,8,21,39,3909,0.248196248,0.326170376,0.419047619
tayloci99,60,86,12,19,3,0,1,2,5,0,9,0,0,2,1,0,0,98,0.220930233,0.306122449,0.290697674
tayloda01,674,2190,388,650,121,37,44,305,56,2,267,268,0,5,32,0,30,2494,0.296803653,0.369687249,0.446118721
taylodo01,29,19,1,3,0,0,0,0,0,0,0,3,0,0,0,0,0,19,0.157894737,0.157894737,0.157894737
taylodu01,276,645,51,93,6,4,0,41,1,0,41,166,0,1,38,0,0,725,0.144186047,0.186206897,0.165891473
