,playerID,W,L,ERA,G,GS,GF,CG,SHO,SV,IPouts,H,R,ER,HR,BB,IBB,SO,HBP,BK,IP,WLpercentage
1487,burttde01,2,2,35.31,8,2,2,0,0,0,91,27,20,19,3,10,1,10,0,1,30.33333333,0.5
1488,burwebi01,9,8,14,70,6,40,1,0,6,655,253,129,106,9,79,0,49,6,3,218.3333333,0.529411765
1489,burwedi01,0,0,14.59,5,1,0,0,0,0,41,17,10,10,2,11,0,1,1,0,13.66666667,NA
1490,busbyma01,0,2,10.13,2,2,0,0,0,0,32,15,15,12,0,7,0,5,0,0,10.66666667,0
1491,busbymi01,5,6,38.42,45,6,10,0,0,0,246,99,65,59,11,37,0,50,8,0,82,0.454545455
1492,busbyst01,70,54,34.07,167,150,8,53,7,0,3182,1003,483,438,73,433,22,659,25,3,1060.666667,0.564516129
1493,buschdo01,0,1,4.35,12,3,2,0,0,0,93,36,17,15,7,8,0,9,1,0,31,0
1494,buschma01,0,0,2.08,3,0,2,0,0,0,13,2,1,1,1,1,1,3,0,0,4.333333333,NA
1495,busenal01,5,2,25.88,60,0,24,0,0,0,204,76,43,37,13,24,1,57,2,0,68,0.714285714
1496,bushda01,56,69,53.6,211,187,10,6,3,0,3433,1199,657,601,170,296,21,768,80,2,1144.333333,0.448
1497,bushefr01,0,1,13.05,12,0,9,0,0,0,94,36,23,22,1,17,0,4,2,0,31.33333333,0
1498,busheja01,1,2,10.27,7,2,3,2,0,0,80,24,20,10,1,19,0,13,1,1,26.66666667,0.333333333
1499,bushgu01,176,136,72.21,542,308,145,151,16,34,8166,2950,1369,1166,152,859,0,850,41,2,2722,0.564102564
1500,bushich01,0,0,12.46,6,0,2,0,0,0,13,9,7,6,1,4,0,3,0,0,4.333333333,NA
1501,bushjo01,195,183,89.99,489,366,93,225,35,20,9262,2992,1443,1205,96,1263,0,1319,62,1,3087.333333,0.515873016
1502,bushky01,0,3,5.6,4,4,0,0,0,0,53,20,11,11,2,16,1,11,1,0,17.66666667,0
1503,bushma01,12,11,34.54,217,6,59,0,0,15,633,182,106,88,33,72,2,227,10,0,211,0.52173913
1504,busketo01,21,27,37.7,258,0,166,0,0,34,1438,479,218,195,57,167,45,212,9,1,479.3333333,0.4375
1505,butchjo01,36,49,35.74,164,113,23,23,6,6,2501,931,444,409,79,229,19,363,17,1,833.6666667,0.423529412
1506,butchma01,95,106,47.5,334,229,60,104,14,9,5359,1935,886,741,100,583,0,485,21,4,1786.333333,0.472636816
1507,butchmi01,11,4,17.51,115,0,42,0,0,9,411,130,75,68,14,82,9,96,7,0,137,0.733333333
1508,buterdr01,0,0,70.2,7,0,7,0,0,0,18,8,5,5,1,4,0,5,0,0,6,NA
1509,butersa01,0,0,0,2,0,2,0,0,0,6,0,0,0,0,1,0,1,0,0,2,NA
1510,butlabi01,9,3,23.6,32,15,6,7,2,1,452,138,69,65,11,56,0,62,3,0,150.6666667,0.75
1511,butlead01,0,1,10.8,8,0,1,0,0,0,15,5,7,6,1,6,1,7,1,0,5,0
1512,butlebi02,23,35,29.57,134,86,17,10,5,1,1775,555,304,277,65,312,8,408,6,0,591.6666667,0.396551724
